
2025/02/03 (18:33:30) | ===> btop++ v.1.4.0
2025/02/03 (18:33:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/03 (18:44:34) | ===> btop++ v.1.4.0
2025/02/03 (18:44:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/04 (14:52:29) | ===> btop++ v.1.4.0
2025/02/04 (14:52:29) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/13 (12:45:06) | ===> btop++ v.1.4.0
2025/02/13 (12:45:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/13 (12:47:49) | ===> btop++ v.1.4.0
2025/02/13 (12:47:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/27 (14:13:19) | ===> btop++ v.1.4.0
2025/02/27 (14:13:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/27 (14:13:29) | ===> btop++ v.1.4.0
2025/02/27 (14:13:29) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/27 (14:15:23) | ===> btop++ v.1.4.0
2025/02/27 (14:15:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/28 (11:27:42) | ===> btop++ v.1.4.0
2025/02/28 (11:27:42) | WARNING: Failed to set locale UTF-8 continuing anyway.
